client,purchase_date,product,price
Patrick Rogers,2022-08-02,TV,2310
Victor Nolan,2022-08-02,TV,2428
Rebecca Hill,2022-08-02,TV,1239
Brett Cannon,2022-08-02,TV,2181
Cheryl Gutierrez,2022-08-02,TV,2124
Cassandra Silva,2022-08-02,TV,978
Jonathon Gibson,2022-08-02,TV,589
Matthew Williams,2022-08-02,TV,2327
Alicia Kramer,2022-08-02,TV,1363
Brianna Romero,2022-08-02,TV,502
Kathleen Jones,2022-08-02,TV,1882
Charles Meza,2022-08-02,TV,2227
Tammie Duran,2022-08-02,TV,1828
Timothy Palmer,2022-08-02,TV,1869
Rebekah Howe,2022-08-02,TV,780
Rachel Ortiz,2022-08-02,TV,2383
Kevin Wade,2022-08-02,TV,1624
Jeffery Griffith,2022-08-02,TV,1027
Christopher Montgomery,2022-08-02,TV,1782
Amber Hernandez,2022-08-02,TV,2175
Elizabeth Graham,2022-08-02,TV,1852
Denise Campbell,2022-08-02,TV,1769
Amy Jones,2022-08-02,TV,2333
Tony Lewis,2022-08-02,TV,1994
Wayne Salas,2022-08-02,TV,2132
Jessica Mack,2022-08-02,TV,1433
Nancy Williams,2022-08-02,TV,1633
Cynthia Vaughn,2022-08-02,TV,1798
Charles Harris,2022-08-02,TV,922
Elizabeth Fritz,2022-08-02,TV,1459
Laura Gallegos,2022-08-02,TV,1196
Jill Sharp,2022-08-02,TV,2110
Jessica Howard,2022-08-02,TV,740
Benjamin Perez,2022-08-02,TV,1302
Joyce Watson,2022-08-02,TV,1450
David Graham,2022-08-02,TV,537
Jesse Dixon,2022-08-02,TV,604
Angela Sampson,2022-08-02,TV,1372
Harold Ryan,2022-08-02,TV,804
David Mcdowell,2022-08-02,TV,930
Mark Richardson,2022-08-02,TV,789
James Wilcox,2022-08-02,TV,2486
Sandra Rivas,2022-08-02,TV,1832
Curtis Richmond,2022-08-02,TV,855
Amanda Gonzales,2022-08-02,TV,827
Matthew Buchanan,2022-08-02,TV,1833
James Zuniga,2022-08-02,TV,1976
Linda Thompson,2022-08-02,TV,1337
Susan Smith,2022-08-02,TV,925
Kathleen Bradshaw,2022-08-02,TV,2436
Heidi Garcia,2022-08-02,TV,902
Dennis Reilly,2022-08-02,TV,1468
Joyce Pham,2022-08-02,TV,1334
Robert Bowers,2022-08-02,TV,1039
Glen Wade,2022-08-02,TV,1731
Debra Woodward,2022-08-02,TV,2137
Christy Myers,2022-08-02,TV,1973
Scott Bryan,2022-08-02,TV,676
Audrey Olson,2022-08-02,TV,1188
Sean Bond,2022-08-02,TV,2269
Amy Boyer,2022-08-02,TV,1286
Robert Mendoza,2022-08-02,TV,2335
Hannah Vasquez,2022-08-02,TV,1530
Jessica Galvan,2022-08-02,TV,1126
Richard Hampton,2022-08-02,TV,2282
Jeff Hernandez,2022-08-02,TV,1134
Charles Lucas,2022-08-02,TV,2194
Danielle Friedman,2022-08-02,TV,1420
Jessica Foster,2022-08-02,TV,624
Cynthia Stone,2022-08-02,TV,1315
Kayla Arnold,2022-08-02,TV,2392
Mackenzie Soto,2022-08-02,TV,1058
Preston Robinson,2022-08-02,TV,1382
Austin Potts,2022-08-02,TV,1035
Melanie Scott,2022-08-02,TV,2152
Craig Dickerson,2022-08-02,TV,2323
Benjamin Rogers,2022-08-02,TV,1229
Kathy Gonzalez,2022-08-02,TV,2090
Robert Hardin,2022-08-02,TV,2429
Karen Glover,2022-08-02,TV,523
Jeremy Green,2022-08-02,Phone,188
Amanda Hernandez,2022-08-02,Phone,992
William Martinez,2022-08-02,Phone,694
Nicolas Sullivan,2022-08-02,Phone,1197
Christopher Young,2022-08-02,Phone,812
Gregory Mack,2022-08-02,Phone,1238
Roberta Anderson,2022-08-02,Phone,502
Ashley Downs,2022-08-02,Phone,241
Brandi King,2022-08-02,Phone,1105
Sheila Friedman,2022-08-02,Phone,898
Hector Moore,2022-08-02,Phone,653
Nicole Li,2022-08-02,Phone,1127
Jessica Dorsey,2022-08-02,Phone,1348
Jason Woodward,2022-08-02,Phone,1318
Kevin Garcia,2022-08-02,Phone,1098
Rachel Peck,2022-08-02,Phone,1499
Teresa Dorsey,2022-08-02,Phone,655
Jasmine Dixon,2022-08-02,Phone,1128
Derek Taylor,2022-08-02,Phone,1442
Susan Bell,2022-08-02,Phone,1432
Michael Williams,2022-08-02,Phone,1037
Frank Beck,2022-08-02,Phone,989
Jacqueline Oneal,2022-08-02,Phone,478
Thomas Rogers,2022-08-02,Phone,1104
Joseph Tapia,2022-08-02,Phone,178
Christian Harris,2022-08-02,Phone,681
Kristin Riley,2022-08-02,Phone,904
Carlos Terry,2022-08-02,Phone,803
Kimberly Russell,2022-08-02,Phone,1191
Connor Wallace,2022-08-02,Phone,502
Robert Hayden,2022-08-02,Phone,1325
Crystal Carroll,2022-08-02,Phone,1240
Nathan Reynolds,2022-08-02,Phone,582
Jessica Morgan,2022-08-02,Phone,1204
Jonathan Carter,2022-08-02,Phone,680
Jennifer Jennings,2022-08-02,Phone,996
Ronald King,2022-08-02,Phone,871
Sharon Clark,2022-08-02,Phone,1020
Brett Buckley,2022-08-02,Phone,1319
Frank Burns,2022-08-02,Phone,1108
Russell Ware,2022-08-02,Phone,468
Candice Martinez,2022-08-02,Phone,623
Cameron Daniel,2022-08-02,Phone,816
Kiara Martinez,2022-08-02,Phone,650
Katherine Turner,2022-08-02,Phone,1405
Susan Valencia,2022-08-02,Phone,516
Denise Frank,2022-08-02,Phone,1018
Pamela Martin,2022-08-02,Phone,1268
Dennis Smith,2022-08-02,Phone,939
Amy Shelton,2022-08-02,Phone,151
Tracy Warren,2022-08-02,Phone,664
Brent Hamilton,2022-08-02,Phone,902
Donald Morales,2022-08-02,Phone,1222
Samantha Green,2022-08-02,Phone,1214
Christopher Riley,2022-08-02,Phone,1043
Charles Roth,2022-08-02,Phone,1357
James Randall,2022-08-02,Phone,843
Heather Tran,2022-08-02,Phone,978
William Waters,2022-08-02,Phone,857
Rebecca Duncan,2022-08-02,Phone,1406
Brandon Richmond,2022-08-02,Phone,1170
Patrick Glass,2022-08-02,Phone,1324
Kelly Nelson,2022-08-02,Phone,1372
Corey Carey,2022-08-02,Phone,1347
Stephanie Brewer,2022-08-02,Phone,403
Edward Bennett,2022-08-02,Phone,1264
Erika Rivera,2022-08-02,Phone,799
Brittany Fisher,2022-08-02,Phone,1348
Samantha Dunn,2022-08-02,Phone,489
Richard Pratt,2022-08-02,Phone,307
