client,purchase_date,product,price
James Stone,2022-08-01,TV,1115
Rebecca Hill,2022-08-01,TV,1771
Alex Drake,2022-08-01,TV,1508
Christopher Young,2022-08-01,TV,1752
Samantha Byrd,2022-08-01,TV,2211
Michael Jenkins,2022-08-01,TV,1591
Nancy Cruz,2022-08-01,TV,1376
Tamara Walsh,2022-08-01,TV,1267
Jay Clarke,2022-08-01,TV,1700
Lucas Smith,2022-08-01,TV,724
Paul Shepard,2022-08-01,TV,1659
Daniel Morris,2022-08-01,TV,2346
Richard Anderson,2022-08-01,TV,2354
Shannon Garcia,2022-08-01,TV,2334
Michael Martinez,2022-08-01,TV,1875
Judith Snyder,2022-08-01,TV,2023
Amber Warren,2022-08-01,TV,1568
George Drake,2022-08-01,TV,1975
David Alvarez,2022-08-01,TV,2094
Monica Carr,2022-08-01,TV,1232
Scott Williams,2022-08-01,TV,2380
Jeffrey Mclean,2022-08-01,TV,2470
Matthew Shaw,2022-08-01,TV,1311
Lisa Anderson,2022-08-01,TV,524
Paula Gaines,2022-08-01,TV,2074
Samantha Cooper,2022-08-01,TV,1413
Mary Sims,2022-08-01,TV,2489
Amy Quinn,2022-08-01,TV,1789
Patrick Kirby,2022-08-01,TV,2211
Heather Fox,2022-08-01,TV,1225
Taylor Pearson,2022-08-01,TV,1102
Leslie Moreno,2022-08-01,TV,1765
Casey Wilson,2022-08-01,TV,1573
Greg Miller,2022-08-01,TV,1292
Taylor Marshall,2022-08-01,TV,2256
Heidi Mills,2022-08-01,TV,1804
Debra Smith,2022-08-01,TV,2466
Kim Taylor,2022-08-01,TV,1992
Amber Butler,2022-08-01,TV,1502
Dawn Fletcher,2022-08-01,TV,1884
Eric Newton,2022-08-01,TV,2189
Anthony Duran,2022-08-01,TV,780
Michele Banks,2022-08-01,TV,848
Timothy Lucero,2022-08-01,TV,1259
Jennifer Bradford,2022-08-01,TV,936
Tracy Williams,2022-08-01,TV,2486
Drew Johnson,2022-08-01,TV,2147
Catherine Willis,2022-08-01,TV,940
Christy Myers,2022-08-01,TV,1807
Gregory Brown,2022-08-01,TV,1669
Whitney Gutierrez,2022-08-01,TV,2042
Heather Tran,2022-08-01,TV,1237
Samantha Rogers,2022-08-01,TV,1996
Vanessa Price,2022-08-01,TV,2149
Jessica Wheeler,2022-08-01,TV,698
Jill Hernandez,2022-08-01,TV,723
Sarah Vaughan,2022-08-01,TV,2259
Sandra Martinez,2022-08-01,TV,898
Mitchell Small,2022-08-01,TV,1716
Melissa Stout,2022-08-01,TV,1948
Johnny Short,2022-08-01,TV,1223
Preston Robinson,2022-08-01,TV,2118
Seth Bailey,2022-08-01,TV,735
Nancy Mathis,2022-08-01,TV,796
Edward Munoz,2022-08-01,TV,2412
Margaret Herrera,2022-08-01,TV,1733
Jessica Reed,2022-08-01,TV,1989
Mary Mccarthy,2022-08-01,TV,1313
Jodi Johnson,2022-08-01,TV,515
Barbara Nguyen,2022-08-01,TV,1916
Jon Lawson,2022-08-01,TV,2183
Dustin Greer,2022-08-01,Phone,514
Jennifer Osborne,2022-08-01,Phone,673
Paul Roberts,2022-08-01,Phone,624
Beverly Lozano,2022-08-01,Phone,1500
Michael Warner,2022-08-01,Phone,921
Lance King,2022-08-01,Phone,889
Regina Perez,2022-08-01,Phone,225
Tanya Walters,2022-08-01,Phone,1194
Sean Morrow,2022-08-01,Phone,245
Jeffrey King,2022-08-01,Phone,1264
Gina Jennings,2022-08-01,Phone,423
Megan Smith,2022-08-01,Phone,202
Michael Reynolds,2022-08-01,Phone,756
Cesar Young,2022-08-01,Phone,1058
Derrick Murphy,2022-08-01,Phone,1468
John Stewart,2022-08-01,Phone,399
Robert Black,2022-08-01,Phone,910
Donna Miller,2022-08-01,Phone,336
Stephanie Robinson,2022-08-01,Phone,657
Annette Mcclure,2022-08-01,Phone,565
Joshua Wilson,2022-08-01,Phone,246
Angela Gomez,2022-08-01,Phone,1120
Zachary Beasley,2022-08-01,Phone,324
Darin Wells,2022-08-01,Phone,409
Shelly Fleming,2022-08-01,Phone,175
Aaron Powell,2022-08-01,Phone,165
Shannon Burns,2022-08-01,Phone,673
Kaitlyn Olson,2022-08-01,Phone,1047
Michael Schroeder,2022-08-01,Phone,1123
Charles Ray,2022-08-01,Phone,1308
Richard Dean,2022-08-01,Phone,841
Nicole Ross,2022-08-01,Phone,153
Jason Blake,2022-08-01,Phone,171
Gregory Krause,2022-08-01,Phone,1425
Paula Sheppard,2022-08-01,Phone,237
Julia Rivera,2022-08-01,Phone,589
Brett Gonzalez,2022-08-01,Phone,1412
Emily Weber,2022-08-01,Phone,538
Debra Atkinson,2022-08-01,Phone,174
Ricky Young,2022-08-01,Phone,616
Dustin Williams,2022-08-01,Phone,646
Brittany Mason,2022-08-01,Phone,551
Benjamin Smith,2022-08-01,Phone,1205
Daniel Torres,2022-08-01,Phone,674
Denise Marsh,2022-08-01,Phone,445
Luis Sims,2022-08-01,Phone,865
Rebecca Lopez,2022-08-01,Phone,330
Craig Moore,2022-08-01,Phone,1416
Daniel Carter,2022-08-01,Phone,1367
Monique Wallace,2022-08-01,Phone,1172
Brandi Duncan,2022-08-01,Phone,285
George Durham,2022-08-01,Phone,1257
James Perez,2022-08-01,Phone,1042
Kelly Rodriguez,2022-08-01,Phone,266
Mary Schaefer,2022-08-01,Phone,1385
Kelly King,2022-08-01,Phone,1265
Chelsea Ramirez,2022-08-01,Phone,1428
Lisa Torres,2022-08-01,Phone,819
Lisa Torres,2022-08-01,Phone,150
Heather Burton,2022-08-01,Phone,211
Valerie Austin,2022-08-01,Phone,879
Renee Richardson,2022-08-01,Phone,288
Steven Ball,2022-08-01,Phone,1038
Chad Peterson,2022-08-01,Phone,203
Julie Banks,2022-08-01,Phone,1440
Eric Snyder,2022-08-01,Phone,1477
Robert Willis,2022-08-01,Phone,1466
Sean Carter,2022-08-01,Phone,325
Barbara Coleman,2022-08-01,Phone,1360
Lance Long,2022-08-01,Phone,317
Kimberly Santana,2022-08-01,Phone,860
Mandy Robinson,2022-08-01,Phone,357
Krystal Phillips,2022-08-01,Phone,340
Timothy Russell,2022-08-01,Phone,1105
Renee Rojas,2022-08-01,Phone,1353
Kelly Riley,2022-08-01,Phone,814
Kelli Hicks,2022-08-01,Phone,911
Aaron Lopez,2022-08-01,Phone,960
Larry Fernandez,2022-08-01,Phone,492
Cheryl Mitchell,2022-08-01,Phone,1424
Caitlin Mullins,2022-08-01,Phone,172
Jessica Frederick,2022-08-01,Phone,1328
Jill Sherman,2022-08-01,Laptop,2962
Christopher Scott,2022-08-01,Laptop,681
Jeremiah Rubio,2022-08-01,Laptop,2830
Jennifer Li,2022-08-01,Laptop,2440
Joshua Gonzalez,2022-08-01,Laptop,2161
Katherine Smith,2022-08-01,Laptop,2031
Brittany Baldwin,2022-08-01,Laptop,1132
Christopher Lopez,2022-08-01,Laptop,1793
Jeremy Thomas,2022-08-01,Laptop,3221
Patricia Brown,2022-08-01,Laptop,2795
Ryan Hartman,2022-08-01,Laptop,613
Veronica Robertson,2022-08-01,Laptop,2079
Michael Smith,2022-08-01,Laptop,1752
Larry Wright,2022-08-01,Laptop,2312
Justin Harrison,2022-08-01,Laptop,780
Natasha Pruitt,2022-08-01,Laptop,3309
Seth Hines,2022-08-01,Laptop,1236
Timothy Trujillo,2022-08-01,Laptop,2453
Theresa Bradley,2022-08-01,Laptop,2906
Justin Perry,2022-08-01,Laptop,2301
Ann Bauer,2022-08-01,Laptop,1309
Matthew Martinez,2022-08-01,Laptop,3133
Eric Montgomery,2022-08-01,Laptop,3250
Jeremiah Brown,2022-08-01,Laptop,1006
Joseph Lambert,2022-08-01,Laptop,2700
Sally Cobb,2022-08-01,Laptop,1754
John Brown,2022-08-01,Laptop,2321
Ann Booth,2022-08-01,Laptop,1816
Michelle Castro,2022-08-01,Laptop,1705
Samantha Shaffer,2022-08-01,Laptop,2899
Tina Ware,2022-08-01,Laptop,1542
Sarah Browning,2022-08-01,Laptop,3047
Carrie Johnson,2022-08-01,Laptop,1653
Marcus Scott,2022-08-01,Laptop,3341
Wayne Williams,2022-08-01,Laptop,1677
Brian Hunter,2022-08-01,Laptop,1034
Cynthia Turner,2022-08-01,Laptop,1873
Kayla Young,2022-08-01,Laptop,1980
Deborah Mcintyre,2022-08-01,Laptop,2068
Bobby Tran,2022-08-01,Laptop,2211
Patrick Smith,2022-08-01,Laptop,545
Bryan Villarreal,2022-08-01,Laptop,2784
Eileen Walker,2022-08-01,Laptop,679
Brittany Torres,2022-08-01,Laptop,1629
Brittany Harris,2022-08-01,Laptop,726
Eric Evans,2022-08-01,Laptop,2273
Rachel Stone,2022-08-01,Laptop,3197
Wesley Wallace,2022-08-01,Laptop,2599
Sierra Hamilton,2022-08-01,Laptop,2229
Sean Chavez,2022-08-01,Laptop,1432
